featurePos,retentionTimePos,InChIKey2DPos,featureNeg,retentionTimeNeg,InChIKey2DNeg
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:132,4.621833333333333,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:164,3.690116666666667,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:132,4.621833333333333,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:172,4.411600000000001,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:132,4.621833333333333,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:226,4.6238166666666665,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:364,1.7661,https://enpkg.commons-lab.org/kg/DKZBBWMURDFHNE,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:143,1.76635,https://enpkg.commons-lab.org/kg/DKZBBWMURDFHNE
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:179,6.401,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:108,6.58255,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:179,6.401,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:9,6.409166666666667,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:535,6.578833333333334,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:108,6.58255,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:535,6.578833333333334,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:9,6.409166666666667,https://enpkg.commons-lab.org/kg/RCRIEGZGQYGDDM
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:225,5.000966666666667,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:62,4.9133,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:186,5.046933333333333,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:62,4.9133,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU
