submittedTaxon
Datura metel
Solena amplexicaulis
Garcinia multiflora
Dalbergia dongnaiensis
Hydrocharis dubia
Geissospermum laeve
Euterpe oleracea
Nephrolepis exaltata
Ehretia lycioides
Streblus ilicifolius
Flemingia grahamiana
Bagassa guianensis
Dracontium polyphyllum
Garcinia xanthochymus
Phoebe tavoyana
Dalbergia stipulacea
Urena repanda
Indigofera atriceps
Ziziphus rugosa
Hodgsonia macrocarpa
Musa sp.
Antidesma acidum
Pinus merkusii
Eucalyptus camaldulensis
Uncaria guianensis
Casearia pitumba
Bismarckia nobilis
Eriophyllum confertiflorum
Amomum verum
Fagus sylvatica
Ribes nigrum
Ardisia ionantha
Corymbia citriodora
Podanthus ovatifolius
Thymus vulgaris
Baccaurea ramiflora
Sphagneticola calendulacea
Hopea ferrea
Rothmannia attopevensis
Huperzia serrata
Fernandoa acutangula
Quassia africana
Cinchona calisaya
Garcinia pauciflora
Garcinia chapelieri
Moringa oleifera
Sterculia lanceolata
Simmondsia chinensis
Artemisia dracunculus
Moringa drouhardii
Atropa belladonna
Artocarpus heterophyllus
Bidens pilosa
Phoenix canariensis
Calophyllum inophyllum
Melaleuca leucadendra
Chrysanthemum morifolium
Quassia amara
Croton alienus
Artocarpus altilis
Origanum vulgare
Cyperus esculentus
Eriophyllum lanatum
Connarus cochinchinensis
Seriphidium cinum
Pseuderanthemum crenulatum
Lonicera tatarica
Eucalyptus robusta
Phyllostachys sp.
Abies alba
Garcinia verrucosa
Tropaeolum majus
Viburnum sambucinum
Vitex pinnata
Castanopsis purpurella
Clausena wallichii
Pandanus corniferus
Tabernaemontana bovina
Uraria crinita
Syzygium formosum
Dioon edule
Ziziphus mauritiana
Wedelia procumbens
Meyna pierrei
Aporosa villosa
Helicteres angustifolia
Litsea monopetala
Mallotus paniculatus
Embelia tsjeriam-cottam
Wrightia arborea
Thyrsanthera suborbicularis
Tephrosia vestita
Jasminum nervosum
Toxocarpus bonii
Capparis micracantha
Tradescantia zebrina
Talipariti tiliaceum
Lygodium falcatum
Bursera fagaroides
Bauhinia viridescens
Ceratozamia miqueliana
Bombax anceps
Tetrastigma cruciatum
Terminalia calamansanay
Tetracera indica
Ziziphus cambodianus
Banisteriopsis caapi
Strychnos umbellata
Xylia xylocarpa
Wollastonia biflora
Zanthoxylum rhetsa
Willughbeia edulis
Ceratozamia lemanis
Olax imbricata
Prismatomeris tetrandra
Sterculia pexa
Licuala spinosa
Streptocaulon juventas
Limonia acidissima
Leucaena leucocephala
Melochia umbellata
Afzelia xylocarpa
Melastoma saigonense
Lithocarpus elegans
Hydnophytum formicarum
Markhamia stipulata
Pithecellobium dulce
Knema globularia
Mussaenda cambodiana
Hymenocardia punctata
Phyllanthus emblica
Pterocarpus macrocarpus
Manilkara zapota
Parameria laevigata
Stephania venosa
Schefflera littorea
Holarrhena pubescens
Holarrhena curtisii
Litchi chinensis
Hibiscus sabdariffa
Ochna integerrima
Mangifera duperreana
Morinda citrifolia
Spondias pinnata
Rhizophora apiculata
Nauclea officinalis
Sambucus canadensis
Solanum sakhanii
Memecylon acuminatum
Spirolobium cambodianum
Sesbania javanica
Ludwigia adscendens
Shorea roxburghii
Schleichera oleosa
Peliosanthes weberi
Garcinia vilersiana
Dillenia obovata
Erythrina fusca
Dischidia nummularia
Desmos lomentaceus
Dendrolobium ursinum
Connarus semidecandrus
Cycas siamensis
Coscinium fenestratum
Euonymus indicus
Ficus hirta
Gardenia obtusifolia
Dioscorea hispida
Flacourtia jangomas
Eriocaulon sexangulare
Desmodium heterophyllum
Garcinia hanburyi
Eurycoma longifolia
Dracaena cambodiana
Drosera burmannii
Curcuma alismatifolia
Dendrolobium lanceolatum
Colona auriculata
Crateva adansonii
Dalbergia bariensis
Ficus altissima
Garcinia mangostana
Dacrydium elatum
Dillenia pentagyna
Melicope pahangensis
Diospyros decandra
Derris scandens
Garcinia lanessanii
Diospyros pilosanthera
Corchorus capsularis
Dolichandrone columnaris
Combretum quadrangulare
Dalbergia lanceolaria
Ficus racemosa
Citrus lucida
Flagellaria indica
Dillenia hookeri
Helicteres hirsuta
Ampelocissus arachnoidea
Casearia grewiifolia
Caesalpinia pulcherrima
Bauhinia pulla
Avicennia marina
Vepris macrophylla
Chonemorpha griffithii
Antidesma ghaesembilla
Bauhinia bracteata
Azima tetracantha
Xerosicyos danguyi
Xerosicyos perrieri
Boerhavia diffusa
Cerbera manghas
Cananga brandisiana
Allophylus cobbe
Butea superba
Senna garrettiana
Albizia myriophylla
Cissus repanda
Zingiber zerumbet
Cassia grandis
Xerophyta dasylirioides
Artocarpus nitidus
Xerosicyos pubescens
Calamus salicifolius
Aristolochia acuminata
Cleistanthus tomentosus
Cassia javanica
Breynia vitis-idaea
Acanthus ilicifolius
Vepris lepidota
Atalantia citroides
Clerodendrum palmatolobatum
Zanthoxylum decaryi
Bombax ceiba
Canarium luzonicum
Careya arborea
Mangifera altissima
Butea monosperma
Borassus flabellifer
Bruguiera cylindrica
Cayratia trifolia
Stephanotis floribunda
Salvadora angustifolia
Psiadia glutinosa
Psiadia altissima
Strychnos spinosa
Secamone ligustrifolia
Psiadia angustifolia
Schefflera arboricola
Turraea sericea
Rauvolfia media
Strychnos decussata
Vepris unifoliolata
Solanum melongena
Tambourissa castri-delphinii
Uncarina stellulifera
Stereospermum variabile
Strychnos madagascariensis
Laportea oligoloba
Uncarina grandidieri
Typhonodorum lindleyanum
Solanum erythracanthum
Sansevieria metallica
Tambourissa trichophylla
Solanum macrocarpon
Vepris elliotii
Stadmania acuminata
Spermacoce verticillata
Senecio antandroi
Uncarina decaryi
Tambourissa amplifolia
Stadmania oppositifolia
Tridax procumbens
Sida rhombifolia
Sclerocarya birrea
Paederia argentea
Operculicarya pachypus
Operculicarya hyphaenoides
Megistostegium nodulosum
Kalanchoe arborescens
Kalanchoe linearifolia
Pluchea grevei
Jatropha mahafalensis
Obetia madagascariensis
Phyllanthus casticum
Megistostegium microphyllum
Helmiopsis hily
Hibiscus ferrugineus
Jatropha multifida
Megistostegium perrieri
Paederia farinosa
Operculicarya decaryi
Loeseneriella urceolus
Pachira aquatica
Phyllarthron bernierianum
Podocarpus madagascariensis
Pluchea perrieri
Nuxia coriacea
Jatropha podagrica
Maerua nuda
Tabernaemontana coffeoides
Malleastrum horokoke
Maerua filiformis
Plumbago aphylla
Plectaneia stenophylla
Nymphaea nouchali
Phyllanthus niruri
Kalanchoe delagoensis
Marsdenia verrucosa
Neobeguea mahafaliensis
Passiflora foetida
Opuntia ficus-indica
Phyllarthron bojeranum
Elegia microcarpa
Croton isomonensis
Ehretia cymosa
Datura stramonium
Givotia madagascariensis
Croton mavoravina
Crotalaria laevigata
Cryptostegia madagascariensis
Dolichos fangitsa
Crotalaria retusa
Croton meridionalis
Flacourtia indica
Gladiolus dalenii
Euphorbia cedrorum
Cyphostemma laza
Halleria ligustrifolia
Grewia barorum
Cyphostemma elephantopus
Dombeya greveana
Dombeya lucida
Grevillea robusta
Harungana madagascariensis
Dodonaea viscosa
Euonymus perrieri
Grewia microcyclea
Ehretia angolensis
Cynanchum mahafalense
Gymnosporia linearis
Euphorbia pervilleana
Euphorbia alluaudii
Cynanchum menarandrense
Crotalaria grevei
Adansonia za
Senna meridionalis
Commiphora brevicalyx
Commiphora aprevalii
Commiphora monstruosa
Buddleja madagascariensis
Cajanus cajan
Crinum firmifolium
Commiphora simplicifolia
Combretum grandidieri
Commiphora lamii
Cedrelopsis grevei
Cadaba virgata
Argemone mexicana
Artocarpus integer
Adansonia rubrostipa
Breonadia salicina
Senna viguierella
Chadsia grevei
Capitanopsis angustifolia
Crotalaria fiherenensis
Astrotrichilia valiandra
Viguieranthus alternans
Adenia monadelpha
Capitanopsis cloiselii
Acalypha decaryana
